matEdi,matId,matPathVal,matTitulo,matLink
1837,15265,Categorias | ATOS DO PREFEITO | DECRETOS N,DECRETO Nº 36062,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15265&edi_id=1837
1837,15266,Categorias | ATOS DO PREFEITO | DECRETOS N,DECRETO Nº 36063,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15266&edi_id=1837
1837,15267,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 654,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15267&edi_id=1837
1837,15268,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 655,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15268&edi_id=1837
1837,15269,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 656,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15269&edi_id=1837
1837,15270,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 657,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15270&edi_id=1837
1837,15271,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 658,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15271&edi_id=1837
1837,15272,Categorias | ATOS DO PREFEITO | DECRETOS P,DECRETO P Nº 659,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15272&edi_id=1837
1837,15273,Categorias | DESPACHOS DO PREFEITO,DESPACHOS DO PREFEITO,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15273&edi_id=1837
1837,15258,Categorias | GABINETE DO PREFEITO | OUTROS,Subg.gbp.07/08/2012,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15258&edi_id=1837
1837,15232,Categorias | GABINETE DO PREFEITO | INSTITUTO RIO PATRIMÔNIO DA HUMANIDADE | PORTARIAS | PORTARIA P,Portaria P nº 01 IRPH- Comissão Concurso Pôster do Rio - FIFA 2014,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15232&edi_id=1837
1837,15013,Categorias | GABINETE DO PREFEITO | INSTITUTO RIO PATRIMÔNIO DA HUMANIDADE | DESPACHOS,Publicação D.O.- Autorização - Estudo Bar Tradicional e Digitalização,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15013&edi_id=1837
1837,15260,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | SUBSECRETARIAS | SUBSECRETARIA DE GESTÃO  | DESPACHOS,Subg.cvl.07/08/2012,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15260&edi_id=1837
1837,15152,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | SUBSECRETARIAS | SUBSECRETARIA DE ASSUNTOS JURÍDICOS  | PORTARIAS | PORTARIA P,Portaria P,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15152&edi_id=1837
1837,14993,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | EMPRESA MUNICIPAL DE INFORMÁTICA | DESPACHOS,Suspensão do contrato de trabalho - Helena Leote,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=14993&edi_id=1837
1837,15120,Categorias | SECRETARIA MUNICIPAL DA CASA CIVIL | EMPRESA MUNICIPAL DE INFORMÁTICA | OUTROS,DAF - NADs DAF 07/08,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=15120&edi_id=1837
