matEdi,matId,matPathVal,matTitulo,matLink
1949,45412,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,Suplemento SCO,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45412&edi_id=1949
1949,45413,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV01A - Relação das categorias de elementares,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45413&edi_id=1949
1949,45414,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV02 - Tabelas,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45414&edi_id=1949
1949,45415,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV03 - Encargos Sociais Obras Públicas e Encargos Sociais Consultoria,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45415&edi_id=1949
1949,45416,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV04 - Relação de Itens Elementares por Descrição,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45416&edi_id=1949
1949,45417,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV04A - Relação de Itens Específicos,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45417&edi_id=1949
1949,45418,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV05 - Hierarquia dos Itens de Serviços,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45418&edi_id=1949
1949,45419,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV06 - Catálogo dos Itens de Serviços,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45419&edi_id=1949
1949,45420,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV08 - Ocorrências dos Itens de Serviço,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45420&edi_id=1949
1949,45421,Categorias | AVISOS EDITAIS E TERMOS DE CONTRATOS | CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO | AVISOS,FGV09 - Ocorrências dos Itens Elementares,http://doweb.rio.rj.gov.br/do/navegadorhtml/mostrar.htm?id=45421&edi_id=1949
